workflow-compute-cpu-1,workflow-compute-cpu-6,1.0
workflow-compute-cpu-1,workflow-compute-gpu-1,1.0
workflow-compute-cpu-1,workflow-compute-gpu-2,1.0
workflow-compute-cpu-1,workflow-compute-gpu-3,1.0
workflow-compute-cpu-2,workflow-compute-cpu-6,1.0
workflow-compute-cpu-2,workflow-compute-gpu-1,1.0
workflow-compute-cpu-2,workflow-compute-gpu-2,1.0
workflow-compute-cpu-2,workflow-compute-gpu-3,1.0
workflow-compute-cpu-3,workflow-compute-cpu-6,1.0
workflow-compute-cpu-3,workflow-compute-gpu-1,1.0
workflow-compute-cpu-3,workflow-compute-gpu-2,1.0
workflow-compute-cpu-3,workflow-compute-gpu-3,1.0
workflow-compute-cpu-4,workflow-compute-cpu-6,1.0
workflow-compute-cpu-4,workflow-compute-gpu-1,1.0
workflow-compute-cpu-4,workflow-compute-gpu-2,1.0
workflow-compute-cpu-4,workflow-compute-gpu-3,1.0
workflow-compute-cpu-5,workflow-compute-cpu-6,1.0
workflow-compute-cpu-5,workflow-compute-gpu-1,1.0
workflow-compute-cpu-5,workflow-compute-gpu-2,1.0
workflow-compute-cpu-5,workflow-compute-gpu-3,1.0
workflow-compute-cpu-6,workflow-compute-cpu-1,10.0
workflow-compute-gpu-1,workflow-compute-cpu-1,10.0
workflow-compute-gpu-2,workflow-compute-cpu-1,10.0
workflow-compute-gpu-3,workflow-compute-cpu-1,10.0
workflow-compute-cpu-6,workflow-compute-cpu-2,10.0
workflow-compute-gpu-1,workflow-compute-cpu-2,10.0
workflow-compute-gpu-2,workflow-compute-cpu-2,10.0
workflow-compute-gpu-3,workflow-compute-cpu-2,10.0
workflow-compute-cpu-6,workflow-compute-cpu-3,10.0
workflow-compute-gpu-1,workflow-compute-cpu-3,10.0
workflow-compute-gpu-2,workflow-compute-cpu-3,10.0
workflow-compute-gpu-3,workflow-compute-cpu-3,10.0
workflow-compute-cpu-6,workflow-compute-cpu-4,10.0
workflow-compute-gpu-1,workflow-compute-cpu-4,10.0
workflow-compute-gpu-2,workflow-compute-cpu-4,10.0
workflow-compute-gpu-3,workflow-compute-cpu-4,10.0
workflow-compute-cpu-6,workflow-compute-cpu-5,10.0
workflow-compute-gpu-1,workflow-compute-cpu-5,10.0
workflow-compute-gpu-2,workflow-compute-cpu-5,10.0
workflow-compute-gpu-3,workflow-compute-cpu-5,10.0